timestamp,name,tag,region,queue_type,owner,mmr,rank,actual_mmr,actual_rank
2026-04-27T15:53:32,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T15:53:32,떼그라클,k91,KR,Ranked Flex,Michael,771,,,
2026-04-27T15:53:32,펑키왈숙,6117,KR,Ranked Flex,Motaju,633,,,
2026-04-27T15:53:33,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T16:04:25,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T16:04:35,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T16:04:46,떼그라션2,4174,KR,Ranked Flex,Sean,724,,,
2026-04-27T16:04:59,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T16:05:09,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T16:05:16,떼그라대,KR11,KR,Ranked Flex,Dani,704,,,
2026-04-27T16:05:23,떼그라월,1234,KR,Ranked Flex,Wallace,721,,,
2026-04-27T16:05:37,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T16:05:44,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T16:05:48,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T16:05:58,떼그라클,k91,KR,Ranked Flex,Michael,771,,,
2026-04-27T16:06:18,펑키왈숙,6117,KR,Ranked Flex,Motaju,633,,,
2026-04-27T16:06:25,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T17:34:35,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T17:34:52,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T17:34:59,떼그라션2,4174,KR,Ranked Flex,Sean,713,,,
2026-04-27T17:35:02,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T17:35:39,떼그라대,KR11,KR,Ranked Flex,Dani,679,,,
2026-04-27T17:35:46,떼그라월,1234,KR,Ranked Flex,Wallace,694,,,
2026-04-27T17:36:20,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T17:36:30,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T17:36:40,떼그라클,k91,KR,Ranked Flex,Michael,779,,,
2026-04-27T17:36:54,펑키왈숙,6117,KR,Ranked Flex,Motaju,696,,,
2026-04-27T17:37:01,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T18:53:42,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T18:53:55,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T18:54:06,떼그라션2,4174,KR,Ranked Flex,Sean,873,,,
2026-04-27T18:54:13,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T18:54:23,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T18:54:30,떼그라대,KR11,KR,Ranked Flex,Dani,725,,,
2026-04-27T18:54:40,떼그라월,1234,KR,Ranked Flex,Wallace,889,,,
2026-04-27T18:54:54,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T18:55:01,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T18:55:08,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T18:55:22,떼그라클,k91,KR,Ranked Flex,Michael,725,,,
2026-04-27T18:55:39,펑키왈숙,6117,KR,Ranked Flex,Motaju,857,,,
2026-04-27T18:55:42,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T19:43:46,SasimySean,4174,KR,Ranked Flex,Sean,764,,,
2026-04-27T19:43:53,일회용라이타,KR1,KR,Ranked Flex,Sean,754,,,
2026-04-27T19:44:04,떼그라션2,4174,KR,Ranked Flex,Sean,873,,,
2026-04-27T19:44:11,떼그라션,4174,KR,Ranked Flex,Sean,919,,,
2026-04-27T19:44:21,떼그라숀,4174,KR,Ranked Flex,Sean,1011,,,
2026-04-27T19:44:38,떼그라대,KR11,KR,Ranked Flex,Dani,725,,,
2026-04-27T19:44:45,떼그라월,1234,KR,Ranked Flex,Wallace,889,,,
2026-04-27T19:44:55,떼그라호,0627,KR,Ranked Flex,함팀장님,834,,,
2026-04-27T19:45:02,qwer,a000,KR,Ranked Flex,함팀장님,1300,,,
2026-04-27T19:45:19,거북이,0627,KR,Ranked Flex,함팀장님,938,,,
2026-04-27T19:45:33,떼그라클,k91,KR,Ranked Flex,Michael,725,,,
2026-04-27T19:45:43,펑키왈숙,6117,KR,Ranked Flex,Motaju,857,,,
2026-04-27T19:45:50,떼그라쥬,RTG,KR,Ranked Flex,Motaju,2074,,,
2026-04-27T19:55:56,SasimySean,4174,KR,Ranked Flex,Sean,764,Bronze II (14 LP),709,Bronze III (84 LP)
2026-04-27T20:29:59,SasimySean,4174,KR,Ranked Flex,Sean,764,Bronze II (14 LP),709,Bronze III (84 LP)
2026-04-27T20:30:10,일회용라이타,KR1,KR,Ranked Flex,Sean,754,Bronze II (4 LP),583,Bronze IV (83 LP)
